Rank,Phase,about,date,competition,Location,Description,Total,score_finale,mouches,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,P1,P2,P3,P4,P5,Épreuve,source_pdf
1,Qualification,KRUMM Clémentine,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,628.9,,,105.1,105.1,104.5,105.2,104.6,104.4,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
2,Qualification,ALLEZARD Justine,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,627.3,,,104.4,105.4,103.8,104.2,105.2,104.3,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
3,Qualification,GOMEZ Judith,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,626.4,,,102.2,104.9,104.3,104.8,104.6,105.6,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
4,Qualification,MATTE Romane,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,624.5,,,104.6,101.9,103.6,104.0,104.1,106.3,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
5,Qualification,BORDET Jade,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,623.2,,,104.3,102.6,103.6,104.2,104.4,104.1,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
6,Qualification,GIRARD Agathe,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,621.6,,,104.0,101.5,102.8,104.8,105.1,103.4,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
7,Qualification,ROY Marie,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,620.6,,,102.1,105.6,102.7,103.0,103.1,104.1,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
8,Qualification,OLRY Jennifer,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,617.6,,,102.1,100.6,104.0,104.7,103.6,102.6,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
9,Qualification,Marine A.T.,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,617.2,,,102.4,103.0,102.8,103.2,102.2,103.6,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
10,Qualification,Thifaine O.S.M.,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,616.0,,,102.6,101.2,100.8,103.4,103.5,104.5,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
11,Qualification,Sandrine AVENIR,2016-02-07,Championnat de France 2023,Montluçon / CNTS,104 Carabine 10 mètres Dames 1,615.6,,,101.4,100.9,103.4,102.6,103.4,103.9,,,,,,,,,,,,Carabine 10m,10m Women_2023.pdf
