Rank,Phase,about,date,competition,Location,Description,Total,score_finale,mouches,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,P1,P2,P3,P4,P5,Épreuve,source_pdf
1,Qualification + Final,PORQUET Lucas,2019-01-29,Championnat de France 10/18m Lanester 2019,Lanester,104 Carabine 10 mètres Cadets garçons,607.4,155.5,,100.9,104.6,102.8,101.2,99.5,98.4,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2019.pdf
2,Qualification + Final,GALLOT Julien,2019-01-29,Championnat de France 10/18m Lanester 2019,Lanester,104 Carabine 10 mètres Cadets garçons,607.0,239.1,,101.4,101.7,99.7,101.1,102.3,100.8,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2019.pdf
3,Qualification + Final,IGERSHEIM Jean,2019-01-29,Championnat de France 10/18m Lanester 2019,Lanester,104 Carabine 10 mètres Cadets garçons,606.7,115.9,,101.4,98.3,102.6,101.4,101.5,101.5,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2019.pdf
4,Qualification + Final,RUDY Jules,2019-01-29,Championnat de France 10/18m Lanester 2019,Lanester,104 Carabine 10 mètres Cadets garçons,606.4,176.3,,101.9,101.1,99.6,100.5,101.3,102.0,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2019.pdf
5,Qualification + Final,LAPLANCHE Alexandre,2019-01-29,Championnat de France 10/18m Lanester 2019,Lanester,104 Carabine 10 mètres Cadets garçons,604.8,217.7,,99.1,100.7,102.4,101.0,102.3,99.3,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2019.pdf
6,Qualification + Final,DUMAS Clément,2019-01-29,Championnat de France 10/18m Lanester 2019,Lanester,104 Carabine 10 mètres Cadets garçons,604.1,240.9,,100.7,100.3,100.9,100.7,100.8,100.7,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2019.pdf
7,Qualification + Final,MERCKLING Noah,2019-01-29,Championnat de France 10/18m Lanester 2019,Lanester,104 Carabine 10 mètres Cadets garçons,602.5,134.0,,98.6,100.5,102.5,101.0,99.3,100.6,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2019.pdf
8,Qualification + Final,LEMESLE Théo,2019-01-29,Championnat de France 10/18m Lanester 2019,Lanester,104 Carabine 10 mètres Cadets garçons,601.9,196.1,,99.6,102.4,101.9,98.6,99.5,99.9,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2019.pdf
9,Qualification,BLATEAU Félix,2019-01-29,Championnat de France 10/18m Lanester 2019,Lanester,104 Carabine 10 mètres Cadets garçons,601.5,,,99.3,99.9,101.4,103.4,97.9,99.6,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2019.pdf
10,Qualification,MAUREL Fabien,2019-01-29,Championnat de France 10/18m Lanester 2019,Lanester,104 Carabine 10 mètres Cadets garçons,601.2,,,100.0,98.3,99.8,101.1,101.5,100.5,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2019.pdf
