Rank,Phase,about,date,competition,Location,Description,Total,score_finale,mouches,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,P1,P2,P3,P4,P5,Épreuve,source_pdf
1,Qualification,BERTHONNEAU Keryann,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,622.8,,,103.2,104.1,103.4,104.1,105.4,102.6,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
2,Qualification,LESIEUR Gaspard,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,619.6,,,103.4,103.0,104.0,104.0,104.3,100.9,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
3,Qualification,FORET Alexandre,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,617.5,,,102.7,101.5,103.0,102.8,104.1,103.4,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
4,Qualification,ABOIRON Ethan,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,616.9,,,102.7,102.3,101.8,103.9,102.2,104.0,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
5,Qualification,POMAR Florent,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,616.7,,,100.8,103.5,103.5,103.6,102.6,102.7,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
6,Qualification,IUNG Antoine,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,616.5,,,100.8,103.7,103.4,103.9,103.7,101.0,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
7,Qualification,HEMERY Hugo,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,616.2,,,103.3,102.0,102.9,103.4,101.6,103.0,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
8,Qualification,SCHWENK Nathan,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,616.2,,,103.0,101.6,102.8,103.7,102.9,102.2,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
9,Qualification,MUHLHEIM Léo,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,612.9,,,100.9,102.1,102.6,103.2,101.3,102.8,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
10,Qualification,BURGER Quentin,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,612.9,,,101.0,102.6,104.5,100.7,103.3,100.8,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
11,Qualification,CHOLET Matis,2016-02-13,Championnat de France 2024,Tarbes / Moulins,104 Carabine 10 mètres Juniors garçons,611.0,,,101.5,102.7,100.9,102.7,102.3,100.9,,,,,,,,,,,,Carabine 10m,10m Junior Men_2024.pdf
