Rank,Phase,about,date,competition,Location,Description,Total,score_finale,mouches,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,P1,P2,P3,P4,P5,Épreuve,source_pdf
1.0,Qualification + Final,BLATEAU Félix,2020-02-11,Championnat de France 10/18m Niort 2020,Niort,104 Carabine 10 mètres Cadets garçons,612.3,242.2,,103.2,101.7,100.9,102.1,103.2,101.2,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2020.pdf
2.0,Qualification + Final,SCHWENK Nathan,2020-02-11,Championnat de France 10/18m Niort 2020,Niort,104 Carabine 10 mètres Cadets garçons,608.5,157.5,,100.5,101.5,101.8,101.5,103.5,99.7,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2020.pdf
3.0,Qualification + Final,DEMOL Hugo,2020-02-11,Championnat de France 10/18m Niort 2020,Niort,104 Carabine 10 mètres Cadets garçons,604.4,176.6,,99.9,100.5,101.2,101.0,101.7,100.1,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2020.pdf
4.0,Qualification + Final,DANILO Enzo,2020-02-11,Championnat de France 10/18m Niort 2020,Niort,104 Carabine 10 mètres Cadets garçons,604.4,137.1,,102.2,100.9,101.5,101.5,98.2,100.1,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2020.pdf
5.0,Qualification + Final,FORET Alexandre,2020-02-11,Championnat de France 10/18m Niort 2020,Niort,104 Carabine 10 mètres Cadets garçons,603.8,240.4,,99.3,102.4,99.7,98.9,101.1,102.4,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2020.pdf
6.0,Qualification + Final,POMAR Florent,2020-02-11,Championnat de France 10/18m Niort 2020,Niort,104 Carabine 10 mètres Cadets garçons,603.6,219.1,,99.0,98.9,100.4,102.4,102.0,100.9,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2020.pdf
7.0,Qualification + Final,DUMAS Clément,2020-02-11,Championnat de France 10/18m Niort 2020,Niort,104 Carabine 10 mètres Cadets garçons,603.4,117.6,,102.3,99.6,99.3,99.7,101.6,100.9,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2020.pdf
8.0,Qualification + Final,DEBAIN Valentin,2020-02-11,Championnat de France 10/18m Niort 2020,Niort,104 Carabine 10 mètres Cadets garçons,602.7,199.8,,101.6,97.1,100.4,100.2,103.1,100.3,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2020.pdf
9.0,Qualification,DARFEUILLE Ancelin,2020-02-11,Championnat de France 10/18m Niort 2020,Niort,104 Carabine 10 mètres Cadets garçons,602.2,,,101.6,96.6,101.6,101.9,101.8,98.7,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2020.pdf
10.0,Qualification,BEUGNON Matteo,2020-02-11,Championnat de France 10/18m Niort 2020,Niort,104 Carabine 10 mètres Cadets garçons,601.7,,,100.9,99.0,100.4,99.9,101.4,100.1,,,,,,,,,,,,Carabine 10m,10m Cadet Men_2020.pdf
